id	ENSG00000222041	ENSG00000227372	ENSG00000232533	ENSG00000256802
TCGA-FG-A4MW	2.238108612	7.364412462	9.647925094	0.246952277
TCGA-FG-A4MX	0.442512491	0.311740183	6.332502499	0.114061435
TCGA-FG-A4MY	0.212293623	2.77676216	5.996141634	0.02845698
TCGA-FG-A60J	0.113017091	1.126079567	4.55225682	0.216610489
TCGA-FG-A60K	0.191408307	0.59622973	2.339398672	0.130190263
TCGA-FG-A60L	0.720183398	1.945496653	14.76702684	0.117961092
TCGA-FG-A6IZ	0.564161179	0.31049879	6.176399811	0.103323093
TCGA-FG-A6J1	0.502210283	0.626659709	8.131906155	0.318016669
TCGA-FG-A6J3	2.75816654	1.248816627	22.46483901	0.606617994
TCGA-FG-A70Y	0.18066889	2.121166846	4.487759943	0.097417916
TCGA-FG-A70Z	5.404100368	6.626045735	9.367330991	0.849644321
TCGA-FG-A710	1.120933595	0.946094603	5.305032011	0.185950621
TCGA-FG-A711	0.165763656	0.867462432	4.426682398	0.11203854
TCGA-FG-A713	0.610259246	2.996965596	4.034513923	0.552656464
TCGA-FG-A87N	2.688635627	0.646566367	6.572455705	0.08789446
TCGA-FG-A87Q	1.517635767	6.81008683	14.09189254	0.327400166
TCGA-FN-7833	0.536046615	0.982959355	3.968643265	0.027046846
TCGA-HT-7467	0.471822066	3.54994116	3.504302186	0.154656485
TCGA-HT-7468	0.254179478	0.554498349	2.96650109	0.087073413
TCGA-HT-7469	1.011319551	8.318734105	6.971890637	0.020746117
TCGA-HT-7470	0.565172044	2.216583168	2.978039726	0.128943263
TCGA-HT-7471	1.38408382	1.162535321	6.111520198	0.146313533
TCGA-HT-7472	0.269905409	1.041746203	2.882755526	0.055050021
TCGA-HT-7473	0.240015104	1.337405104	5.429623402	0.058277908
TCGA-HT-7474	0.392260557	2.413872496	4.33876296	0.177043997
TCGA-HT-7475	0.351996212	1.522467864	6.76209351	0.140563391
TCGA-HT-7476	1.479781232	1.657275155	3.600495434	0.064561432
